"Bit","N","SMARTS"
284,284,"[!#1][CH]1N(C(=O)N([!#1])C1([!#1])[CH3])c2[cH][cH]c([!#1])c([!#1])[cH]2"
285,285,"[!#1][CH]1N(C(=O)N([!#1])C1([CH3])[CH3])c2[cH][cH][cH]c3[cH][cH][cH][cH]c23"
286,286,"[!#1][CH]1N2[CH2][CH2][CH]([CH2][CH2]2)C1=O"
287,287,"[!#1][CH]1O[CH]([!#1])[CH]([!#1])[CH]([!#1])[CH]1[!#1]"
288,288,"[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH][cH]c(=O)[nH]c2=O"
289,289,"[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH]nc3c([!#1])n[cH]nc23"
290,290,"[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]([OH])[CH]1[OH]"
291,291,"[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]"
292,292,"[!#1][CH]1O[CH]([CH3])[CH]([OH])[CH]([OH])[CH]1[OH]"
293,293,"[!#1][CH]1O[CH2][CH2]O[CH]1[!#1]"
294,294,"[!#1][CH]1OC([!#1])([CH3])O[CH]1[!#1]"
295,295,"[!#1][CH]1S(=O)(=O)[CH2][CH]([CH2]S1(=O)=O)c2[cH][cH][cH][cH][cH]2"
296,296,"[!#1][CH]1S(c2[cH][cH][cH][cH]c2[NH]C1=O)"
297,297,"[!#1][CH2][!#1]"
298,298,"[!#1][CH2][CH]([!#1])[!#1]"
299,299,"[!#1][CH2][CH]([!#1])[CH3]"
300,300,"[!#1][CH2][CH]([!#1])[OH]"
301,301,"[!#1][CH2][CH]([!#1])C#[CH]"
302,302,"[!#1][CH2][CH]([!#1])C(=O)[!#1]"
303,303,"[!#1][CH2][CH]([!#1])C(=O)[NH][!#1]"
304,304,"[!#1][CH2][CH]([!#1])C(=O)[OH]"
305,305,"[!#1][CH2][CH]([!#1])C(=O)O[CH2][CH3]"
306,306,"[!#1][CH2][CH]([CH2][CH3])[NH]C(=O)[!#1]"
307,307,"[!#1][CH2][CH]([CH3])[CH3]"
308,308,"[!#1][CH2][CH]([CH3])[NH][CH2]C(=O)[NH][!#1]"
309,309,"[!#1][CH2][CH]([CH3])[NH]C(=O)[!#1]"
310,310,"[!#1][CH2][CH]([CH3])[NH2]"
311,311,"[!#1][CH2][CH]([CH3])[OH]"
312,312,"[!#1][CH2][CH]([CH3])O[!#1]"
313,313,"[!#1][CH2][CH]([CH3])S[CH2][CH3]"
314,314,"[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[NH][!#1]"
315,315,"[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[OH]"
316,316,"[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)O[CH2][CH3]"
317,317,"[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)O[CH3]"
318,318,"[!#1][CH2][CH]([NH]C(=O)[CH2]O[!#1])C(=O)[OH]"
