"Bit","N","SMARTS"
319,319,"[!#1][CH2][CH]([NH]C(=O)[CH2]O[!#1])C(=O)O[CH3]"
320,320,"[!#1][CH2][CH]([NH]C(=O)[CH3])C(=O)[OH]"
321,321,"[!#1][CH2][CH]([NH]C(=O)[CH3])C(=O)O[CH2][CH3]"
322,322,"[!#1][CH2][CH]([NH]C(=O)OC([CH3])([CH3])[CH3])C(=O)O[!#1]"
323,323,"[!#1][CH2][CH]([NH]S(=O)(=O)[!#1])C(=O)[OH]"
324,324,"[!#1][CH2][CH]([NH]S(=O)(=O)[!#1])C(=O)O[CH3]"
325,325,"[!#1][CH2][CH]([NH2])C(=O)[OH]"
326,326,"[!#1][CH2][CH]([OH])[CH2][!#1]"
327,327,"[!#1][CH2][CH]([OH])[CH2][NH][!#1]"
328,328,"[!#1][CH2][CH]([OH])[CH2][OH]"
329,329,"[!#1][CH2][CH]([OH])[CH2]Br"
330,330,"[!#1][CH2][CH]([OH])[CH2]Cl"
331,331,"[!#1][CH2][CH]([OH])[CH2]N([!#1])[!#1]"
332,332,"[!#1][CH2][CH]([OH])[CH2]N([!#1])[CH3]"
333,333,"[!#1][CH2][CH]([OH])[CH2]N([CH2][CH2][OH])[CH2][CH2][OH]"
334,334,"[!#1][CH2][CH]([OH])[CH2]N([CH2][CH3])[CH2][CH3]"
335,335,"[!#1][CH2][CH]([OH])[CH2]N([CH3])[CH3]"
336,336,"[!#1][CH2][CH]([OH])[CH2]O[!#1]"
337,337,"[!#1][CH2][CH](O[CH3])O[CH3]"
338,338,"[!#1][CH2][CH]=[CH][!#1]"
339,339,"[!#1][CH2][CH]=[CH2]"
340,340,"[!#1][CH2][CH]1[CH2]OC2([CH2][CH2][CH2][CH2][CH2]2)O1"
341,341,"[!#1][CH2][CH2][!#1]"
342,342,"[!#1][CH2][CH2][CH]([CH3])[CH3]"
343,343,"[!#1][CH2][CH2][CH]=C([CH3])[CH3]"
344,344,"[!#1][CH2][CH2][CH2][!#1]"
345,345,"[!#1][CH2][CH2][CH2][CH]([CH2]O[!#1])O[!#1]"
346,346,"[!#1][CH2][CH2][CH2][CH2][!#1]"
347,347,"[!#1][CH2][CH2][CH2][CH2][CH2][!#1]"
348,348,"[!#1][CH2][CH2][CH2][CH2][CH2][CH2][!#1]"
349,349,"[!#1][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH3]"
350,350,"[!#1][CH2][CH2][CH2][CH2][CH2][CH3]"
351,351,"[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)[NH][!#1]"
352,352,"[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)[OH]"
353,353,"[!#1][CH2][CH2][CH2][CH2][CH2]C(=O)N([!#1])[CH2][!#1]"
354,354,"[!#1][CH2][CH2][CH2][CH2][CH3]"
355,355,"[!#1][CH2][CH2][CH2][CH2][NH]C(=O)[!#1]"
356,356,"[!#1][CH2][CH2][CH2][CH2][NH]C(=S)[NH][CH3]"
357,357,"[!#1][CH2][CH2][CH2][CH2][OH]"
358,358,"[!#1][CH2][CH2][CH2][CH2]C(=O)[OH]"
359,359,"[!#1][CH2][CH2][CH2][CH2]C(=O)O[CH3]"
360,360,"[!#1][CH2][CH2][CH2][CH2]N([!#1])C(=O)[!#1]"
361,361,"[!#1][CH2][CH2][CH2][CH2]S[!#1]"
362,362,"[!#1][CH2][CH2][CH2][CH3]"
363,363,"[!#1][CH2][CH2][CH2][NH][!#1]"
364,364,"[!#1][CH2][CH2][CH2][NH]C(=O)[!#1]"
365,365,"[!#1][CH2][CH2][CH2][NH]S(=O)(=O)[!#1]"
366,366,"[!#1][CH2][CH2][CH2][NH2]"
367,367,"[!#1][CH2][CH2][CH2][OH]"
368,368,"[!#1][CH2][CH2][CH2]C(=O)[!#1]"
369,369,"[!#1][CH2][CH2][CH2]C(=O)[NH][!#1]"
370,370,"[!#1][CH2][CH2][CH2]C(=O)[OH]"
371,371,"[!#1][CH2][CH2][CH2]C(=O)O[CH3]"
372,372,"[!#1][CH2][CH2][CH2]Cl"
373,373,"[!#1][CH2][CH2][CH2]N([CH2][CH3])[CH2][CH3]"
374,374,"[!#1][CH2][CH2][CH2]N([CH3])[CH3]"
375,375,"[!#1][CH2][CH2][CH2]O[!#1]"
376,376,"[!#1][CH2][CH2][CH2]OC(=O)[!#1]"
377,377,"[!#1][CH2][CH2][CH2]OC(=O)C([!#1])([!#1])[OH]"
378,378,"[!#1][CH2][CH2][CH2]OC(=O)C([CH3])([CH3])[CH3]"
379,379,"[!#1][CH2][CH2][CH2]S(=O)(=O)[OH]"
380,380,"[!#1][CH2][CH2][CH2]S(=O)(=O)O[Na]"
381,381,"[!#1][CH2][CH2][CH2]S[!#1]"
382,382,"[!#1][CH2][CH2][CH3]"
383,383,"[!#1][CH2][CH2][NH][!#1]"
384,384,"[!#1][CH2][CH2][NH][CH2]C(=O)[NH][!#1]"
385,385,"[!#1][CH2][CH2][NH]C([!#1])([!#1])[!#1]"
386,386,"[!#1][CH2][CH2][NH]C(=C1C(=O)O[CH](C1=O)c2[cH][cH][cH][cH][cH]2)[CH3]"
387,387,"[!#1][CH2][CH2][NH]C(=O)[!#1]"
388,388,"[!#1][CH2][CH2][NH]C(=O)[CH]([!#1])[CH3]"
389,389,"[!#1][CH2][CH2][NH]C(=O)[CH]=[CH][!#1]"
390,390,"[!#1][CH2][CH2][NH]C(=O)[CH2][!#1]"
391,391,"[!#1][CH2][CH2][NH]C(=O)[CH2][CH2][!#1]"
392,392,"[!#1][CH2][CH2][NH]C(=O)[CH2]O[!#1]"
393,393,"[!#1][CH2][CH2][NH]C(=O)[CH3]"
394,394,"[!#1][CH2][CH2][NH]C(=O)[NH][!#1]"
395,395,"[!#1][CH2][CH2][NH]C(=O)O[CH2][CH2]Cl"
396,396,"[!#1][CH2][CH2][NH]S(=O)(=O)[!#1]"
397,397,"[!#1][CH2][CH2][NH2]"
398,398,"[!#1][CH2][CH2][OH]"
399,399,"[!#1][CH2][CH2]C#N"
400,400,"[!#1][CH2][CH2]C(=N[OH])[!#1]"
401,401,"[!#1][CH2][CH2]C(=O)[!#1]"
402,402,"[!#1][CH2][CH2]C(=O)[CH3]"
403,403,"[!#1][CH2][CH2]C(=O)[NH][!#1]"
404,404,"[!#1][CH2][CH2]C(=O)[NH][NH]C(=O)[!#1]"
405,405,"[!#1][CH2][CH2]C(=O)[NH][NH]S(=O)(=O)[!#1]"
406,406,"[!#1][CH2][CH2]C(=O)[NH][NH2]"
407,407,"[!#1][CH2][CH2]C(=O)[NH]N=[CH][!#1]"
408,408,"[!#1][CH2][CH2]C(=O)[NH2]"
409,409,"[!#1][CH2][CH2]C(=O)[OH]"
410,410,"[!#1][CH2][CH2]C(=O)O[!#1]"
411,411,"[!#1][CH2][CH2]C(=O)O[CH2][CH3]"
412,412,"[!#1][CH2][CH2]C(=O)O[CH3]"
413,413,"[!#1][CH2][CH2]c1[cH][cH][cH][cH][cH]1"
414,414,"[!#1][CH2][CH2]c1[cH][cH]c(O[!#1])c(O[!#1])[cH]1"
415,415,"[!#1][CH2][CH2]c1c(nc2[cH][cH][cH][cH]c2c1[NH][!#1])N([!#1])[CH2]c3[cH][cH][cH][cH][cH]3"
416,416,"[!#1][CH2][CH2]c1c(nc2[cH][cH][cH][cH]c2c1[NH][!#1])N([!#1])[CH3]"
417,417,"[!#1][CH2][CH2]N([!#1])[CH]1[CH2][CH2][CH2]c2c1n([!#1])c3[cH][cH]c([CH3])[cH]c23"
418,418,"[!#1][CH2][CH2]N([!#1])[CH2][CH2][NH][!#1]"
419,419,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2][CH]([!#1])[!#1]"
420,420,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2][CH]([OH])[CH2]O[!#1]"
421,421,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2]C(=O)[!#1]"
422,422,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2]c1[cH][cH][cH][cH][cH]1"
423,423,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH2]c1[cH][cH]c2O[CH2]Oc2[cH]1"
424,424,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])[CH3]"
425,425,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH][cH][cH][cH]1"
426,426,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH][cH][cH]c1O[!#1]"
427,427,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH][cH][cH]n1"
428,428,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH]c([!#1])[cH][cH]1"
429,429,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
430,430,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH]c(Cl)[cH][cH]1"
431,431,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1[cH][cH]c(F)[cH][cH]1"
432,432,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]N([!#1])c1n[cH][cH][cH]n1"
433,433,"[!#1][CH2][CH2]N([!#1])[CH2][CH2]O[!#1]"
434,434,"[!#1][CH2][CH2]N([!#1])[CH2][CH3]"
435,435,"[!#1][CH2][CH2]N([!#1])[CH3]"
436,436,"[!#1][CH2][CH2]N([!#1])[NH2]"
437,437,"[!#1][CH2][CH2]N([!#1])c1[cH][cH][cH][cH][cH]1"
438,438,"[!#1][CH2][CH2]N([CH2][!#1])[CH2][!#1]"
439,439,"[!#1][CH2][CH2]N([CH2][CH2]O[!#1])C(=O)[!#1]"
440,440,"[!#1][CH2][CH2]N([CH2][CH3])[CH2][CH3]"
441,441,"[!#1][CH2][CH2]N([CH3])[CH2]C(=O)[NH][!#1]"
442,442,"[!#1][CH2][CH2]N([CH3])[CH3]"
443,443,"[!#1][CH2][CH2]N=[CH][!#1]"
444,444,"[!#1][CH2][CH2]O[!#1]"
445,445,"[!#1][CH2][CH2]O[CH2][CH]([OH])[CH2][!#1]"
446,446,"[!#1][CH2][CH2]O[CH2][CH]([OH])[CH2][NH2]"
447,447,"[!#1][CH2][CH2]OC(=O)[!#1]"
448,448,"[!#1][CH2][CH2]OC(=O)[CH2][CH2]C(=O)[NH][!#1]"
449,449,"[!#1][CH2][CH2]OC(=O)[CH3]"
450,450,"[!#1][CH2][CH2]OC(=O)[NH][CH]([!#1])C(Cl)(Cl)Cl"
451,451,"[!#1][CH2][CH2]OC(=O)[NH][CH]([NH][!#1])C(Cl)(Cl)Cl"
452,452,"[!#1][CH2][CH2]P(=O)([!#1])[CH2][CH3]"
453,453,"[!#1][CH2][CH2]S(=O)(=O)[!#1]"
454,454,"[!#1][CH2][CH2]S(=O)(=O)[CH2][CH2][!#1]"
455,455,"[!#1][CH2][CH2]S(=O)(=O)[CH2][CH2]C(=O)[NH2]"
456,456,"[!#1][CH2][CH2]S(=O)(=O)O[!#1]"
457,457,"[!#1][CH2][CH2]S(=O)[!#1]"
458,458,"[!#1][CH2][CH2]S[!#1]"
459,459,"[!#1][CH2][CH2]S[CH2][!#1]"
460,460,"[!#1][CH2][CH2]S[CH2][CH2][!#1]"
461,461,"[!#1][CH2][CH2]S[CH2][CH2]S[CH2][CH2][!#1]"
462,462,"[!#1][CH2][CH2]S[CH2]C(=O)[OH]"
463,463,"[!#1][CH2][CH2]SC(=[NH])[NH2]"
464,464,"[!#1][CH2][CH2]SC(=O)[CH3]"
465,465,"[!#1][CH2][CH2]SC(=S)[!#1]"
466,466,"[!#1][CH2][CH3]"
467,467,"[!#1][CH2][NH][!#1]"
468,468,"[!#1][CH2][NH][CH]([CH2][!#1])C(=O)[OH]"
469,469,"[!#1][CH2][NH][CH]([CH3])[CH2][CH3]"
470,470,"[!#1][CH2][NH][CH]([CH3])[CH3]"
471,471,"[!#1][CH2][NH][CH]([NH]C(=O)[!#1])C(Br)(Br)Br"
472,472,"[!#1][CH2][NH][CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl"
473,473,"[!#1][CH2][NH][CH]=C1C(=O)[CH2][NH]C1=O"
474,474,"[!#1][CH2][NH][CH]=C1C(=O)[NH]C(=O)[NH]C1=O"
475,475,"[!#1][CH2][NH][CH]=C1C(=O)[NH]C(=O)N([!#1])C1=O"
476,476,"[!#1][CH2][NH][CH2][!#1]"
477,477,"[!#1][CH2][NH]C([CH3])([CH3])[CH3]"
478,478,"[!#1][CH2][NH]C(=[NH])[NH]C(=[NH])[NH2]"
479,479,"[!#1][CH2][NH]C(=N[OH])[!#1]"
480,480,"[!#1][CH2][NH]C(=O)[!#1]"
481,481,"[!#1][CH2][NH]C(=O)[CH]([!#1])[CH2][!#1]"
482,482,"[!#1][CH2][NH]C(=O)[CH]=[CH]C(=O)[OH]"
483,483,"[!#1][CH2][NH]C(=O)[CH2][!#1]"
484,484,"[!#1][CH2][NH]C(=O)[CH2][CH2]C(=O)[OH]"
485,485,"[!#1][CH2][NH]C(=O)[CH2]Cl"
486,486,"[!#1][CH2][NH]C(=O)[CH2]O[!#1]"
487,487,"[!#1][CH2][NH]C(=O)[CH3]"
488,488,"[!#1][CH2][NH]C(=O)[NH][!#1]"
489,489,"[!#1][CH2][NH]C(=O)C(=[CH][!#1])[NH]C(=O)[!#1]"
490,490,"[!#1][CH2][NH]C(=S)[NH][!#1]"
491,491,"[!#1][CH2][NH]C(=S)[NH]C(=O)[!#1]"
492,492,"[!#1][CH2][NH]S(=O)(=O)[!#1]"
493,493,"[!#1][CH2][NH2]"
494,494,"[!#1][CH2][OH]"
495,495,"[!#1][CH2]Br"
496,496,"[!#1][CH2]C#C[!#1]"
497,497,"[!#1][CH2]C([CH3])([CH3])[CH3]"
498,498,"[!#1][CH2]C(=[CH2])[CH3]"
499,499,"[!#1][CH2]C(=N[NH][!#1])[CH3]"
500,500,"[!#1][CH2]C(=N[NH]C(=O)[!#1])[CH3]"
501,501,"[!#1][CH2]C(=N[NH]C(=O)[!#1])C(=O)[OH]"
502,502,"[!#1][CH2]C(=N[NH]C(=O)[CH2]O[!#1])[CH3]"
503,503,"[!#1][CH2]C(=N[OH])[!#1]"
504,504,"[!#1][CH2]C(=O)[!#1]"
505,505,"[!#1][CH2]C(=O)[CH3]"
506,506,"[!#1][CH2]C(=O)[NH][!#1]"
507,507,"[!#1][CH2]C(=O)[NH][CH]([!#1])[CH3]"
508,508,"[!#1][CH2]C(=O)[NH][CH]([!#1])C(=O)[NH][!#1]"
509,509,"[!#1][CH2]C(=O)[NH][CH]([!#1])C(Cl)(Cl)Cl"
510,510,"[!#1][CH2]C(=O)[NH][CH]([NH][!#1])C(Cl)(Cl)Cl"
511,511,"[!#1][CH2]C(=O)[NH][CH]([NH]C(=S)[NH][!#1])C(Cl)(Cl)Cl"
512,512,"[!#1][CH2]C(=O)[NH][CH](S[!#1])C(Cl)(Cl)Cl"
513,513,"[!#1][CH2]C(=O)[NH][CH2][CH2][OH]"
514,514,"[!#1][CH2]C(=O)[NH][CH2][CH2]S(=O)(=O)[OH]"
515,515,"[!#1][CH2]C(=O)[NH][NH][!#1]"
516,516,"[!#1][CH2]C(=O)[NH][NH]C(=O)[!#1]"
517,517,"[!#1][CH2]C(=O)[NH][NH2]"
518,518,"[!#1][CH2]C(=O)[NH][OH]"
519,519,"[!#1][CH2]C(=O)[NH]N([!#1])[CH3]"
520,520,"[!#1][CH2]C(=O)[NH]N=[CH][!#1]"
521,521,"[!#1][CH2]C(=O)[NH]N=[CH][CH]([!#1])[!#1]"
522,522,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH][cH]1"
523,523,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[N+](=O)[O-]"
524,524,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[OH]"
525,525,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1Br"
526,526,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1Cl"
527,527,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]"
528,528,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]c(I)[cH]1"
529,529,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]o1"
530,530,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH][cH]s1"
531,531,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
532,532,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c([OH])[cH]c1[OH]"
533,533,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c(Br)[cH][cH]1"
534,534,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c(Cl)[cH][cH]1"
535,535,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][cH]c2O[CH2]Oc2[cH]1"
536,536,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH][nH]c2[cH][cH][cH][cH]c12"
537,537,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]"
538,538,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH]c(N=Nc2[cH][cH][cH][cH][cH]2)[cH][cH]c1[OH]"
539,539,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH]c2[cH][cH][cH][cH]c2nc1Cl"
540,540,"[!#1][CH2]C(=O)[NH]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1[N+](=O)[O-]"
541,541,"[!#1][CH2]C(=O)[NH]N=[CH]c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12"
542,542,"[!#1][CH2]C(=O)[NH]N=[CH]c1c(Cl)[cH][cH][cH]c1Cl"
543,543,"[!#1][CH2]C(=O)[NH]N=C([!#1])[CH3]"
544,544,"[!#1][CH2]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Br)[cH][cH]1"
545,545,"[!#1][CH2]C(=O)[NH]N=C1[CH2][CH2][CH2]c2c1non2=O"
546,546,"[!#1][CH2]C(=O)[NH]S(=O)(=O)[!#1]"
547,547,"[!#1][CH2]C(=O)[NH2]"
548,548,"[!#1][CH2]C(=O)[OH]"
549,549,"[!#1][CH2]C(=O)C([CH3])([CH3])[CH3]"
550,550,"[!#1][CH2]C(=O)c1[cH][cH][cH][cH][cH]1"
551,551,"[!#1][CH2]C(=O)c1[cH][cH]c([!#1])[cH][cH]1"
552,552,"[!#1][CH2]C(=O)c1[cH][cH]c([CH3])[cH][cH]1"
553,553,"[!#1][CH2]C(=O)c1[cH][cH]c(Cl)c(Cl)[cH]1"
554,554,"[!#1][CH2]C(=O)N([!#1])[CH3]"
555,555,"[!#1][CH2]C(=O)N([CH3])[CH]([!#1])C(=O)[NH][!#1]"
556,556,"[!#1][CH2]C(=O)N=[CH][NH][NH][!#1]"
557,557,"[!#1][CH2]C(=O)O[!#1]"
558,558,"[!#1][CH2]C(=O)O[CH2][CH2][CH2][CH3]"
559,559,"[!#1][CH2]C(=O)O[CH2][CH2][NH]C(=O)[!#1]"
560,560,"[!#1][CH2]C(=O)O[CH2][CH3]"
561,561,"[!#1][CH2]C(=O)O[CH2]C(=O)[!#1]"
562,562,"[!#1][CH2]C(=O)O[CH3]"
563,563,"[!#1][CH2]C(=O)O[Na]"
564,564,"[!#1][CH2]C(=S)[!#1]"
565,565,"[!#1][CH2]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3"
566,566,"[!#1][CH2]c1[cH][cH][cH][cH][cH]1"
567,567,"[!#1][CH2]c1[cH][cH][cH][cH]c1Br"
568,568,"[!#1][CH2]c1[cH][cH][cH][cH]c1C(F)(F)F"
569,569,"[!#1][CH2]c1[cH][cH][cH][cH]c1Cl"
570,570,"[!#1][CH2]c1[cH][cH][cH][cH]c1F"
571,571,"[!#1][CH2]c1[cH][cH][cH]c([CH3])[cH]1"
572,572,"[!#1][CH2]c1[cH][cH][cH]c([OH])[cH]1"
573,573,"[!#1][CH2]c1[cH][cH][cH]c(Br)[cH]1"
574,574,"[!#1][CH2]c1[cH][cH][cH]c(Cl)[cH]1"
575,575,"[!#1][CH2]c1[cH][cH][cH]c(Cl)c1Cl"
576,576,"[!#1][CH2]c1[cH][cH][cH]c(F)[cH]1"
577,577,"[!#1][CH2]c1[cH][cH][cH]c(O[!#1])[cH]1"
578,578,"[!#1][CH2]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12"
579,579,"[!#1][CH2]c1[cH][cH][cH]n[cH]1"
580,580,"[!#1][CH2]c1[cH][cH][cH]o1"
581,581,"[!#1][CH2]c1[cH][cH][cH]s1"
582,582,"[!#1][CH2]c1[cH][cH]c([!#1])[cH][cH]1"
583,583,"[!#1][CH2]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
584,584,"[!#1][CH2]c1[cH][cH]c([cH][cH]1)C(F)(F)F"
585,585,"[!#1][CH2]c1[cH][cH]c([CH3])[cH][cH]1"
586,586,"[!#1][CH2]c1[cH][cH]c(Br)[cH][cH]1"
587,587,"[!#1][CH2]c1[cH][cH]c(Br)s1"
588,588,"[!#1][CH2]c1[cH][cH]c(Cl)[cH][cH]1"
589,589,"[!#1][CH2]c1[cH][cH]c(Cl)[cH]c1Cl"
590,590,"[!#1][CH2]c1[cH][cH]c(F)[cH][cH]1"
591,591,"[!#1][CH2]c1[cH][cH]c(F)[cH]c1F"
592,592,"[!#1][CH2]c1[cH][cH]c(O[!#1])[cH][cH]1"
593,593,"[!#1][CH2]c1[cH][cH]c(O[!#1])c(O[!#1])[cH]1"
594,594,"[!#1][CH2]c1[cH][cH]c(S[CH3])[cH][cH]1"
595,595,"[!#1][CH2]c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1"
596,596,"[!#1][CH2]c1[cH][cH]c2O[CH2]Oc2[cH]1"
597,597,"[!#1][CH2]c1[cH][cH]o[cH]1"
598,598,"[!#1][CH2]c1[cH][cH]s[cH]1"
599,599,"[!#1][CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12"
600,600,"[!#1][CH2]c1[cH]c([CH2][!#1])c([OH])c([!#1])n1"
601,601,"[!#1][CH2]c1c([!#1])[cH][cH]c2[cH][cH][cH][cH]c12"
602,602,"[!#1][CH2]c1c([NH][!#1])sc2[CH2][CH2][CH2][CH2]c12"
603,603,"[!#1][CH2]c1nc2[cH][cH][cH][cH]c2[nH]1"
604,604,"[!#1][CH2]Cl"
605,605,"[!#1][CH2]N([!#1])[CH2][!#1]"
606,606,"[!#1][CH2]N([!#1])[CH2][CH2][OH]"
607,607,"[!#1][CH2]N([!#1])[CH2][CH3]"
608,608,"[!#1][CH2]N([!#1])[CH3]"
609,609,"[!#1][CH2]N([!#1])[NH]C(=O)[CH2][!#1]"
610,610,"[!#1][CH2]N([!#1])C(=O)[!#1]"
611,611,"[!#1][CH2]N([!#1])C(=O)[CH2][CH2]C(=O)[!#1]"
612,612,"[!#1][CH2]N([!#1])C(=O)[CH2]O[!#1]"
613,613,"[!#1][CH2]N([!#1])C(=O)[CH3]"
614,614,"[!#1][CH2]N([!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]"
615,615,"[!#1][CH2]N([!#1])C(=O)c1[cH]c([cH][cH]c1C(=O)[!#1])[N+](=O)[O-]"
616,616,"[!#1][CH2]N([!#1])C(=O)c1[cH]c(Br)[cH][cH]c1C(=O)[!#1]"
617,617,"[!#1][CH2]N([!#1])c1[cH][cH][cH][cH]c1C(=O)C(=O)[!#1]"
618,618,"[!#1][CH2]N([!#1])N=[CH][!#1]"
619,619,"[!#1][CH2]N([!#1])S(=O)(=O)[NH]C(=O)[NH][!#1]"
620,620,"[!#1][CH2]N([CH2][!#1])[CH2][!#1]"
621,621,"[!#1][CH2]N([CH2][!#1])C(=O)[!#1]"
622,622,"[!#1][CH2]N([CH2][!#1])C(=O)[NH][!#1]"
623,623,"[!#1][CH2]N([CH2][!#1])S(=O)(=O)[!#1]"
624,624,"[!#1][CH2]N([CH2][CH]([OH])[CH2]O[!#1])C([CH3])([CH3])[CH3]"
625,625,"[!#1][CH2]N([CH2][CH]=[CH2])[CH2][CH]=[CH2]"
626,626,"[!#1][CH2]N([CH2][CH2][OH])[CH2][CH2][OH]"
627,627,"[!#1][CH2]N([CH2][CH3])[CH2][CH3]"
628,628,"[!#1][CH2]N([CH2]C(=O)[OH])[CH2]C(=O)[OH]"
629,629,"[!#1][CH2]N([CH3])[CH3]"
630,630,"[!#1][CH2]N([CH3])C(=O)[!#1]"
631,631,"[!#1][CH2]N([CH3])S(=O)(=O)[!#1]"
632,632,"[!#1][CH2]N([OH])[CH2][!#1]"
633,633,"[!#1][CH2]N(C([CH3])([CH3])[CH3])S(=O)(=O)[!#1]"
634,634,"[!#1][CH2]N(C(=O)[!#1])C([CH3])([CH3])[CH3]"
635,635,"[!#1][CH2]N(C(=O)[CH2][CH2]C(=O)[OH])C([CH3])([CH3])[CH3]"
636,636,"[!#1][CH2]N=[CH][!#1]"
637,637,"[!#1][CH2]N=c1[cH][cH]n([!#1])[cH][cH]1"
638,638,"[!#1][CH2]N1[CH2][CH2][CH]([!#1])[CH2][CH2]1"
639,639,"[!#1][CH2]N1[CH2][CH2][CH2][CH2][CH2]1"
640,640,"[!#1][CH2]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH][cH]2"
641,641,"[!#1][CH2]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH][cH][cH]n2"
642,642,"[!#1][CH2]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c(Cl)[cH][cH]2"
643,643,"[!#1][CH2]N1[CH2][CH2]N([CH2][CH2]1)c2[cH][cH]c(F)[cH][cH]2"
644,644,"[!#1][CH2]N1[CH2][CH2]O[CH2][CH2]1"
645,645,"[!#1][CH2]N1C(=O)c2[cH][cH][cH][cH]c2C1=O"
646,646,"[!#1][CH2]n1nnc2[cH][cH][cH][cH]c12"
647,647,"[!#1][CH2]O[!#1]"
648,648,"[!#1][CH2]O[CH2][!#1]"
649,649,"[!#1][CH2]O[CH2][CH]([OH])[CH2][!#1]"
650,650,"[!#1][CH2]O[CH2][CH]([OH])[CH2][NH][CH]([CH3])[CH3]"
651,651,"[!#1][CH2]O[CH2][CH3]"
652,652,"[!#1][CH2]O[CH3]"
653,653,"[!#1][CH2]OC([!#1])([!#1])[!#1]"
654,654,"[!#1][CH2]OC(=O)[!#1]"
655,655,"[!#1][CH2]OC(=O)[CH]([CH]([!#1])S[CH2][!#1])[N+](=O)[O-]"
656,656,"[!#1][CH2]OC(=O)[CH2][CH2]C(=O)[OH]"
657,657,"[!#1][CH2]OC(=O)[CH2][CH3]"
658,658,"[!#1][CH2]OC(=O)[CH3]"
659,659,"[!#1][CH2]OC(=O)[NH][!#1]"
660,660,"[!#1][CH2]OC(=O)[NH][CH]([NH]C(=S)[NH][!#1])C(Cl)(Cl)Cl"
661,661,"[!#1][CH2]OP(=S)(O[CH2][CH3])O[CH2][CH3]"
662,662,"[!#1][CH2]OS(=O)(=O)[!#1]"
663,663,"[!#1][CH2]S(=O)(=O)[!#1]"
664,664,"[!#1][CH2]S(=O)(=O)[NH][!#1]"
665,665,"[!#1][CH2]S[!#1]"
666,666,"[!#1][CH2]S[CH2]C(=O)[NH]N=[CH][!#1]"
667,667,"[!#1][CH2]S[CH2]S[CH2][!#1]"
